date,slot,event,reason,holding_bars,pnl_since_entry,entry_z,exit_z,capital_frac
2022-10-11 15:45:00+00:00,1,entry,signal_entry,0,0.0,-1.7652434334545477,,0.1858
2022-10-13 13:30:00+00:00,1,exit,z_decay,45,0.00024143746369149568,-1.7652434334545477,0.2551057034580888,
2022-10-13 14:15:00+00:00,0,exit,z_decay,63,0.006026264128458761,-2.763347696316552,-0.1668188431836598,
2022-10-14 17:15:00+00:00,0,entry,signal_entry,0,0.0,3.5690039592143905,,1.0
2022-12-13 19:15:00+00:00,0,halt_rehedge,asset_halted,1111,-0.14610709838116379,3.5690039592143905,,
2022-12-16 16:30:00+00:00,1,entry,signal_entry,0,0.0,-1.9543538804194729,,0.1998
2022-12-28 14:45:00+00:00,0,exit,z_decay,1363,-0.12952680262219177,3.5690039592143905,0.26249762081720757,
2023-01-06 19:45:00+00:00,0,entry,signal_entry,0,0.0,2.28833126204964,,0.673
2023-01-09 14:30:00+00:00,1,exit,z_decay,370,0.0035620783574212356,-1.9543538804194729,-0.2993132390447373,
2023-01-09 19:45:00+00:00,1,entry,signal_entry,0,0.0,1.7341358449424844,,0.3178
2023-01-17 15:30:00+00:00,0,exit,z_decay,145,0.009395177032561491,2.28833126204964,0.2558786971546438,
2023-01-19 14:30:00+00:00,1,exit,z_decay,168,0.0033975624968180184,1.7341358449424844,0.15536591626335955,
2023-02-27 19:45:00+00:00,0,entry,signal_entry,0,0.0,2.1434063412404316,,0.6304
2023-03-01 14:30:00+00:00,1,entry,signal_entry,0,0.0,1.9716256002602397,,0.3696
2023-03-07 18:30:00+00:00,0,exit,z_decay,157,0.00857785195702547,2.1434063412404316,0.2902495393526476,
2023-03-08 14:30:00+00:00,1,exit,z_decay,135,0.005803678498772809,1.9716256002602397,0.17266475243680157,
2023-03-17 16:30:00+00:00,0,entry,signal_entry,0,0.0,-1.7968388258735766,,0.5285
2023-03-17 18:45:00+00:00,1,entry,signal_entry,0,0.0,-1.7505244947023242,,0.4715
2023-03-27 17:15:00+00:00,1,exit,z_decay,156,0.007479733537799184,-1.7505244947023242,-0.2865406551710184,
2023-03-27 17:45:00+00:00,0,exit,z_decay,167,0.007004740268224318,-1.7968388258735766,-0.27970273922435723,
2023-04-06 18:45:00+00:00,0,entry,signal_entry,0,0.0,-1.708121751966334,,0.5024
2023-04-06 19:00:00+00:00,1,entry,signal_entry,0,0.0,-1.7329262235323635,,0.4956
2023-04-14 16:45:00+00:00,1,exit,preempted,126,0.005063413630322129,-1.7329262235323635,-1.424934687729537,
2023-04-14 16:45:00+00:00,1,entry,preempt_entry,0,0.0,3.545469708512016,,0.4956
2023-04-18 13:30:00+00:00,0,exit,z_decay,168,0.019293675089173908,-1.708121751966334,-0.2738678492235693,
2023-04-21 16:45:00+00:00,0,entry,signal_entry,0,0.0,1.8526612820533919,,0.5017
2023-04-26 18:45:00+00:00,1,exit,z_decay,224,0.009270346856781398,3.545469708512016,0.25882755986024075,
2023-04-26 19:00:00+00:00,1,entry,signal_entry,0,0.0,1.754999534679624,,0.479
2023-05-01 19:00:00+00:00,0,exit,z_decay,171,0.007907869610527304,1.8526612820533919,0.2918265988603757,
2023-05-01 19:00:00+00:00,1,exit,z_decay,81,0.0039472979264508976,1.754999534679624,0.29181006770602147,
2023-05-10 17:30:00+00:00,0,entry,signal_entry,0,0.0,-1.705761218199968,,0.5017
2023-05-11 18:00:00+00:00,1,entry,signal_entry,0,0.0,-1.7468422843619822,,0.4983
2023-05-25 19:45:00+00:00,1,halt_rehedge,asset_halted,277,-0.0004239086347815049,-1.7468422843619822,,
2023-05-25 20:00:00+00:00,1,halt_rehedge,asset_halted,278,-0.0003755177998090117,-1.7468422843619822,,
2023-05-26 13:30:00+00:00,1,exit,z_decay,279,0.0026817610466532728,-1.7468422843619822,-0.2515998986795712,
2023-06-05 13:30:00+00:00,0,exit,z_decay,443,0.0004746615434831885,-1.705761218199968,-0.1114693147487545,
2023-06-06 17:00:00+00:00,0,entry,signal_entry,0,0.0,2.0981127777474935,,0.6171
2023-06-06 18:45:00+00:00,1,entry,signal_entry,0,0.0,2.010444256224339,,0.3852
2023-06-15 13:30:00+00:00,0,exit,z_decay,175,0.009638515830442645,2.0981127777474935,0.05644662918646762,
2023-06-20 13:30:00+00:00,1,exit,z_decay,222,0.005217506722165286,2.010444256224339,0.015611005971854353,
2023-06-21 18:45:00+00:00,0,entry,signal_entry,0,0.0,-2.0322706696690225,,0.5977
2023-06-23 14:45:00+00:00,1,entry,signal_entry,0,0.0,-1.7110678820139835,,0.4034
2023-06-26 15:30:00+00:00,1,exit,z_decay,30,0.004516273064791087,-1.7110678820139835,-0.19440124675387624,
2023-06-29 15:15:00+00:00,0,exit,z_decay,148,-0.0006604847601523016,-2.0322706696690225,-0.2266376591188709,
2023-07-07 19:30:00+00:00,0,entry,signal_entry,0,0.0,1.7241925734828023,,0.5071
2023-07-10 19:30:00+00:00,1,entry,signal_entry,0,0.0,1.7481313141144057,,0.4929
2023-07-12 16:00:00+00:00,0,halt_rehedge,asset_halted,67,-0.008638328148122749,1.7241925734828023,,
2023-08-07 19:45:00+00:00,0,exit,z_decay,568,-0.021941889525511855,1.7241925734828023,0.2507421913802061,
2023-08-09 18:45:00+00:00,0,entry,signal_entry,0,0.0,-1.972918299839543,,0.3844
2023-08-11 13:45:00+00:00,1,exit,z_decay,625,-0.019211320962136305,1.7481313141144057,0.28302423621655487,
2023-08-29 17:00:00+00:00,0,exit,z_decay,371,-0.008371921877656927,-1.972918299839543,-0.22772986424244826,
2023-10-03 17:15:00+00:00,0,entry,signal_entry,0,0.0,2.6528630308299475,,0.7803
2023-10-12 19:45:00+00:00,1,entry,signal_entry,0,0.0,-2.029638272716074,,0.2183
2023-10-13 18:45:00+00:00,0,exit,preempted,222,-0.013539277250425443,2.6528630308299475,0.9162869587163223,
2023-10-13 18:45:00+00:00,0,entry,preempt_entry,0,0.0,3.870565860154122,,0.6573
2023-10-25 13:30:00+00:00,0,exit,z_decay,195,0.020361770863046975,3.870565860154122,0.24672183122638985,
